issue,title,validator comment,grade,size,Best
validation-174,QA Report,,Unsatisfactory,1,
validation-190,QA Report,,Unsatisfactory,9,
validation-8,QA Report,,Unsatisfactory,19,
validation-164,Gas Optimizations,,Unsatisfactory,20,
validation-47,Gas Optimizations,,Unsatisfactory,28,
validation-141,QA Report,,Unsatisfactory,37,
validation-14,Gas Optimizations,,Unsatisfactory,39,
validation-189,QA Report,,Unsatisfactory,40,
validation-140,Gas Optimizations,,Unsatisfactory,60,
validation-18,Gas Optimizations,,Unsatisfactory,83,
validation-6,Gas Optimizations,,Unsatisfactory,2089,
findings-10,QA Report,,Unsatisfactory,7,
validation-41,QA Report,,Unsatisfactory,44,
validation-165,QA Report,,Unsatisfactory,55,
validation-68,QA Report,,Unsatisfactory,60,
validation-157,QA Report,,Unsatisfactory,63,
validation-65,QA Report,,Unsatisfactory,71,
validation-150,QA Report,,Unsatisfactory,121,
validation-119,QA Report,,Unsatisfactory,123,
findings-13,QA Report,,Unsatisfactory,71,
findings-4,QA Report,,Unsatisfactory,110,
validation-94,QA Report,,Unsatisfactory,215,
validation-182,QA Report,,Unsatisfactory,218,
validation-180,QA Report,,Unsatisfactory,275,
validation-162,QA Report,,Unsatisfactory,329,
validation-156,QA Report,"L-06, L-09 may be valid lows",Satisfactory,396,
validation-20,QA Report,Q-05 might be a valid low,Satisfactory,604,
findings-5,QA Report,Too much noise,Unsatisfactory,1324,
validation-5,QA Report,Too much noise,Unsatisfactory,3492,
validation-183,QA Report,Only NC issues,Unsatisfactory,210,
validation-135,QA Report,,Unsatisfactory,276,
validation-86,QA Report,Q-02 might be a valid low.,Satisfactory,578,
